,year,selling_price,km_driven,fuel,transmission,owner
329,2012,23800.0,110000,Diesel,Manual,Second Owner
330,2008,17000.0,120000,Diesel,Manual,Third Owner & Above
333,2006,5440.0,120000,Petrol,Manual,Third Owner & Above
335,2018,61200.00000000001,25000,Diesel,Manual,First Owner
336,2014,20400.0,35000,Petrol,Manual,Second Owner
338,2015,33320.0,60000,Diesel,Manual,Second Owner
339,2012,20400.0,50000,Diesel,Manual,Second Owner
342,2019,51340.00000000001,8000,Diesel,Manual,First Owner
343,2017,48960.0,60000,Diesel,Manual,First Owner
345,2018,74800.0,20000,Diesel,Manual,First Owner
346,2013,27200.000000000004,100000,Petrol,Manual,First Owner
356,2014,31960.000000000004,163000,Diesel,Manual,First Owner
360,2014,34000.0,70000,Diesel,Manual,Second Owner
362,2010,16320.000000000002,81925,Diesel,Manual,First Owner
367,2012,37400.0,80000,Diesel,Manual,First Owner
373,2010,20400.0,120000,Diesel,Manual,Third Owner & Above
374,2007,12920.000000000002,60000,Petrol,Manual,Third Owner & Above
375,2013,27200.000000000004,110000,Diesel,Manual,First Owner
378,2010,17000.0,40000,Petrol,Manual,First Owner
382,2019,23800.0,15000,Petrol,Automatic,Second Owner
383,2018,54400.00000000001,50000,Diesel,Manual,First Owner
384,2011,17000.0,70000,Petrol,Manual,Second Owner
389,2017,40460.0,33100,Petrol,Manual,Second Owner
393,2016,68000.0,70000,Diesel,Manual,First Owner
395,2010,27200.000000000004,50000,Diesel,Manual,First Owner
398,2014,34000.0,49000,Diesel,Manual,First Owner
399,2018,108800.00000000001,35000,Diesel,Automatic,First Owner
407,2009,17000.0,70000,Petrol,Manual,First Owner
408,2010,17000.0,120000,Diesel,Manual,Second Owner
409,2012,14620.000000000002,80000,Diesel,Manual,Third Owner & Above
417,2018,57800.00000000001,10000,Diesel,Manual,First Owner
421,2017,71059.932,25000,Diesel,Manual,First Owner
422,2011,20400.0,127500,Diesel,Manual,Second Owner
424,2011,8160.000000000001,60000,Petrol,Manual,Third Owner & Above
428,2015,34000.0,30000,Diesel,Manual,Second Owner
430,2015,40800.0,64484,Petrol,Manual,First Owner
431,2012,91800.0,90000,Diesel,Automatic,Second Owner
432,2013,27200.000000000004,75976,Diesel,Manual,Second Owner
433,2011,14960.000000000002,70000,Diesel,Manual,Second Owner
434,2012,20400.0,85962,Petrol,Manual,Second Owner
436,2015,40800.0,120000,Diesel,Manual,First Owner
438,2009,23800.0,57035,Petrol,Manual,First Owner
439,2011,11560.0,70000,Diesel,Manual,Third Owner & Above
441,2013,34000.0,72104,Diesel,Manual,Second Owner
443,2016,40800.0,30000,Petrol,Manual,First Owner
447,2006,8160.000000000001,77000,Petrol,Manual,Second Owner
451,2012,21760.0,80000,Diesel,Manual,Second Owner
456,2018,51680.00000000001,50000,Diesel,Manual,First Owner
461,2019,125800.00000000001,5000,Diesel,Automatic,First Owner
462,2012,23800.0,77000,Diesel,Manual,First Owner
463,2008,13260.000000000002,90000,Diesel,Manual,Second Owner
464,2011,15300.000000000002,80000,Petrol,Manual,Second Owner
468,2018,63920.00000000001,20000,Diesel,Manual,First Owner
471,2015,42500.0,80000,Diesel,Manual,First Owner
473,2012,33320.0,100000,Diesel,Manual,First Owner
477,2009,18700.0,100000,Diesel,Manual,Second Owner
478,2011,20400.0,65000,Diesel,Manual,Second Owner
482,2012,23936.0,109000,Diesel,Manual,First Owner
485,2011,20400.0,65000,Diesel,Manual,Second Owner
486,2010,20400.0,110000,Diesel,Manual,Second Owner
487,2007,15300.000000000002,120000,Diesel,Manual,First Owner
488,2014,40800.0,44000,Diesel,Manual,First Owner
490,2018,61200.00000000001,5000,Petrol,Manual,First Owner
491,2016,40800.0,61000,Petrol,Manual,First Owner
492,2011,30600.000000000004,100000,Diesel,Manual,Second Owner
493,2009,18360.0,27633,Petrol,Manual,First Owner
494,2010,21080.0,100000,Diesel,Manual,Third Owner & Above
497,2018,44200.0,38083,Diesel,Manual,First Owner
498,2012,27200.000000000004,55328,Diesel,Manual,First Owner
499,2012,28900.000000000004,81632,Diesel,Manual,First Owner
500,2016,40800.0,155201,Diesel,Manual,First Owner
501,2013,40800.0,93283,Diesel,Manual,First Owner
503,2012,30600.000000000004,90165,Diesel,Manual,First Owner
504,2014,51000.00000000001,101504,Diesel,Manual,First Owner
505,2010,22100.0,86017,Diesel,Manual,Second Owner
507,2006,12240.0,91086,Petrol,Manual,Second Owner
509,2013,40800.0,125531,Diesel,Manual,Second Owner
510,2019,61200.00000000001,60000,Diesel,Manual,First Owner
513,2009,15300.000000000002,120000,Diesel,Manual,Second Owner
514,2014,35360.0,82000,Diesel,Manual,First Owner
515,2016,34679.932,60000,Diesel,Manual,First Owner
519,2013,24820.0,65000,Diesel,Manual,First Owner
522,2007,15300.000000000002,50000,Diesel,Manual,First Owner
524,2007,9520.0,49000,Petrol,Manual,First Owner
527,2017,187000.0,41000,Diesel,Automatic,First Owner
528,2013,32979.932,65000,Diesel,Manual,First Owner
529,2015,38420.0,65000,Diesel,Manual,First Owner
530,2013,28900.000000000004,61083,Diesel,Manual,First Owner
532,2012,38420.0,72000,Diesel,Manual,First Owner
533,2014,35700.0,65000,Diesel,Manual,First Owner
536,2012,139400.0,66363,Petrol,Automatic,Second Owner
537,2018,100300.0,11700,Petrol,Automatic,First Owner
538,2017,74800.0,10000,Petrol,Automatic,First Owner
540,2016,45560.0,7104,Petrol,Manual,First Owner
541,2015,51000.00000000001,45974,Diesel,Manual,First Owner
542,2015,51680.00000000001,55340,Petrol,Manual,First Owner
543,2017,57800.00000000001,20000,Petrol,Automatic,Second Owner
545,2016,30600.000000000004,39415,Petrol,Automatic,Second Owner
546,2014,28900.000000000004,29654,Petrol,Manual,First Owner
547,2016,52360.00000000001,64672,Diesel,Manual,First Owner
548,2015,78200.0,54634,Diesel,Automatic,Second Owner
549,2015,52700.00000000001,66521,Petrol,Manual,First Owner
550,2018,117300.00000000001,23974,Diesel,Automatic,Second Owner
551,2016,146200.0,43000,Diesel,Automatic,First Owner
552,2013,30600.000000000004,1000,Diesel,Manual,Second Owner
553,2018,258400.00000000003,10000,Diesel,Automatic,First Owner
555,2019,336600.0,30000,Diesel,Automatic,First Owner
556,2016,36380.0,52600,Diesel,Manual,First Owner
559,2016,45560.0,7104,Petrol,Manual,First Owner
560,2015,42500.0,11918,Petrol,Manual,First Owner
563,2017,176800.0,47162,Diesel,Automatic,First Owner
564,2015,51000.00000000001,45974,Diesel,Manual,First Owner
568,2012,26180.000000000004,52000,Diesel,Manual,First Owner
569,2015,51680.00000000001,55340,Petrol,Manual,First Owner
570,2017,40800.0,46507,Diesel,Manual,First Owner
571,2013,30600.000000000004,1000,Diesel,Manual,Second Owner
572,2018,258400.00000000003,10000,Diesel,Automatic,First Owner
574,2019,336600.0,30000,Diesel,Automatic,First Owner
575,2016,36380.0,52600,Diesel,Manual,First Owner
578,2016,45560.0,7104,Petrol,Manual,First Owner
579,2015,42500.0,11918,Petrol,Manual,First Owner
582,2017,176800.0,47162,Diesel,Automatic,First Owner
583,2015,51000.00000000001,45974,Diesel,Manual,First Owner
587,2012,26180.000000000004,52000,Diesel,Manual,First Owner
588,2015,51680.00000000001,55340,Petrol,Manual,First Owner
589,2017,40800.0,46507,Diesel,Manual,First Owner
590,2013,30600.000000000004,1000,Diesel,Manual,Second Owner
591,2018,258400.00000000003,10000,Diesel,Automatic,First Owner
593,2019,336600.0,30000,Diesel,Automatic,First Owner
594,2016,36380.0,52600,Diesel,Manual,First Owner
597,2016,45560.0,7104,Petrol,Manual,First Owner
598,2015,42500.0,11918,Petrol,Manual,First Owner
601,2017,176800.0,47162,Diesel,Automatic,First Owner
602,2015,51000.00000000001,45974,Diesel,Manual,First Owner
606,2012,26180.000000000004,52000,Diesel,Manual,First Owner
607,2015,51680.00000000001,55340,Petrol,Manual,First Owner
608,2017,40800.0,46507,Diesel,Manual,First Owner
609,2013,30600.000000000004,1000,Diesel,Manual,Second Owner
610,2018,258400.00000000003,10000,Diesel,Automatic,First Owner
612,2019,336600.0,30000,Diesel,Automatic,First Owner
613,2016,36380.0,52600,Diesel,Manual,First Owner
616,2016,45560.0,7104,Petrol,Manual,First Owner
617,2015,42500.0,11918,Petrol,Manual,First Owner
620,2017,176800.0,47162,Diesel,Automatic,First Owner
621,2015,51000.00000000001,45974,Diesel,Manual,First Owner
625,2012,26180.000000000004,52000,Diesel,Manual,First Owner
626,2015,51680.00000000001,55340,Petrol,Manual,First Owner
627,2017,40800.0,46507,Diesel,Manual,First Owner
628,2013,23800.0,50000,Petrol,Manual,Second Owner
630,2013,25840.000000000004,50000,Petrol,Manual,Second Owner
632,2016,61200.00000000001,35000,Diesel,Manual,First Owner
642,2007,15300.000000000002,55000,Petrol,Manual,Second Owner
646,2011,28900.000000000004,50000,Diesel,Manual,First Owner
655,2008,9860.0,25000,Petrol,Manual,First Owner
659,2008,17000.0,100000,Diesel,Manual,Third Owner & Above
662,2019,62900.00000000001,11000,Petrol,Manual,First Owner
663,2017,65959.932,30000,Diesel,Manual,First Owner
664,2007,6120.0,80000,Other,Manual,Third Owner & Above
666,2007,10540.0,100000,Diesel,Manual,Third Owner & Above
667,2019,61200.00000000001,15000,Diesel,Manual,First Owner
670,2013,33660.0,100000,Diesel,Manual,Second Owner
672,2008,17000.0,110000,Diesel,Manual,Second Owner
676,2011,21148.0,140000,Diesel,Manual,First Owner
677,2009,20400.0,15000,Petrol,Manual,First Owner
678,2018,40800.0,20000,Petrol,Manual,First Owner
688,2012,27879.932000000004,60000,Diesel,Manual,Second Owner
691,2016,40800.0,10000,Petrol,Manual,First Owner
692,2015,56100.00000000001,90000,Diesel,Manual,Third Owner & Above
693,2016,42500.0,80000,Diesel,Manual,Second Owner
694,2020,47600.0,1400,Diesel,Manual,First Owner
696,2011,7819.932000000001,60000,Petrol,Manual,Third Owner & Above
698,2010,17000.0,100000,Diesel,Manual,First Owner
699,2012,26520.000000000004,86000,Diesel,Manual,Second Owner
700,2015,44200.0,100000,Diesel,Manual,First Owner
701,2016,40800.0,30000,Diesel,Manual,First Owner
703,2011,15639.932000000003,60000,Other,Manual,Second Owner
705,2010,22440.0,124000,Diesel,Manual,Second Owner
709,2016,43452.0,28205,Petrol,Manual,First Owner
711,2016,81532.0,30093,Diesel,Automatic,First Owner
712,2013,35700.0,56228,Other,Manual,First Owner
713,2013,28900.000000000004,59319,Petrol,Manual,First Owner
714,2016,47532.0,39503,Diesel,Manual,First Owner
716,2011,18700.0,51687,Petrol,Manual,First Owner
718,2013,27132.000000000004,44049,Diesel,Manual,First Owner
720,2011,16932.0,41125,Petrol,Manual,First Owner
721,2014,105332.00000000001,42215,Diesel,Automatic,First Owner
722,2011,17339.932,54206,Petrol,Manual,First Owner
724,2014,45220.0,59110,Diesel,Manual,First Owner
726,2010,18020.0,47564,Petrol,Manual,Second Owner
730,2014,37400.0,50000,Diesel,Manual,First Owner
738,2019,81600.0,25000,Diesel,Manual,First Owner
741,2006,11220.0,132000,Petrol,Manual,First Owner
746,2015,37400.0,69782,Petrol,Manual,First Owner
749,2017,47600.0,60000,Diesel,Manual,First Owner
750,2015,60520.00000000001,52000,Diesel,Manual,First Owner
751,2015,33320.0,59385,Diesel,Manual,First Owner
752,2015,35700.0,70378,Petrol,Manual,First Owner
754,2013,37400.0,78413,Diesel,Manual,Second Owner
755,2018,53720.00000000001,40890,Diesel,Manual,First Owner
757,2017,115600.00000000001,75000,Diesel,Automatic,First Owner
758,2017,51000.00000000001,55545,Diesel,Manual,First Owner
763,2014,40800.0,27483,Diesel,Manual,First Owner
765,2008,10200.0,30000,Petrol,Manual,First Owner
768,2018,59500.00000000001,1440,Petrol,Manual,First Owner
770,2017,190400.0,20000,Diesel,Automatic,First Owner
774,2016,62559.932,75000,Diesel,Manual,First Owner
776,2012,30600.000000000004,46000,Diesel,Manual,First Owner
779,2011,21760.0,100000,Diesel,Manual,Second Owner
780,2013,27200.000000000004,35000,Petrol,Manual,First Owner
783,2012,27200.000000000004,150000,Diesel,Manual,Second Owner
784,2013,36040.0,89000,Petrol,Manual,Second Owner
785,2014,26520.000000000004,60000,Diesel,Manual,Second Owner
787,2012,20400.0,100000,Petrol,Manual,Second Owner
788,2014,39100.0,90000,Diesel,Manual,Second Owner
794,2015,40800.0,60000,Diesel,Manual,First Owner
795,2013,20400.0,25000,Diesel,Manual,Second Owner
796,2018,78200.0,26430,Diesel,Manual,First Owner
797,2015,32300.000000000004,24600,Petrol,Manual,First Owner
798,2011,17680.0,28481,Petrol,Manual,First Owner
800,2013,51000.00000000001,41988,Diesel,Manual,First Owner
801,2009,12240.0,30375,Petrol,Manual,First Owner
803,2017,41548.0,34400,Diesel,Manual,First Owner
807,2017,27200.000000000004,50000,Diesel,Manual,Second Owner
809,2015,57868.00000000001,53652,Diesel,Manual,First Owner
810,2014,34000.0,25000,Petrol,Manual,First Owner
811,2007,17000.0,80000,Diesel,Manual,Second Owner
813,2016,41480.0,15000,Diesel,Manual,Second Owner
815,2017,50592.0,106000,Diesel,Manual,First Owner
817,2016,14960.000000000002,60000,Petrol,Manual,Third Owner & Above
818,2012,32640.000000000004,120000,Diesel,Manual,Third Owner & Above
826,2009,17000.0,60000,Petrol,Manual,Third Owner & Above
828,2018,88400.0,35000,Diesel,Manual,First Owner
833,2010,18700.0,70000,Petrol,Manual,First Owner
835,2016,61200.00000000001,80000,Diesel,Manual,First Owner
836,2014,170000.0,79500,Diesel,Automatic,Second Owner
837,2013,42160.0,70000,Diesel,Manual,Second Owner
839,2018,44200.0,15000,Petrol,Manual,First Owner
840,2014,34000.0,35000,Petrol,Manual,First Owner
841,2009,17000.0,120000,Diesel,Manual,Second Owner
842,2018,64600.00000000001,15000,Diesel,Manual,Second Owner
844,2013,30600.000000000004,120000,Diesel,Manual,First Owner
848,2009,17000.0,72000,Diesel,Manual,Second Owner
852,2017,81600.0,50000,Diesel,Automatic,First Owner
853,2011,30600.000000000004,60000,Petrol,Automatic,Third Owner & Above
854,2018,41820.0,40000,Petrol,Manual,First Owner
855,2012,27200.000000000004,60000,Diesel,Manual,Second Owner
858,2015,40800.0,45000,Petrol,Manual,First Owner
861,2011,22100.0,100000,Diesel,Manual,Second Owner
863,2009,10880.0,70000,Other,Manual,Third Owner & Above
864,2007,6800.000000000001,80000,Petrol,Manual,Third Owner & Above
870,2013,30600.000000000004,80000,Diesel,Manual,First Owner
871,2017,27200.000000000004,38000,Petrol,Manual,Second Owner
876,2013,34000.0,100000,Diesel,Manual,Second Owner
880,2011,19380.0,50000,Diesel,Manual,Second Owner
885,2013,51000.00000000001,80000,Diesel,Manual,First Owner
886,2016,41480.0,100000,Diesel,Manual,First Owner
887,2015,30600.000000000004,50000,Diesel,Manual,First Owner
888,2012,27879.932000000004,56000,Diesel,Manual,First Owner
891,2013,27200.000000000004,107000,Diesel,Manual,First Owner
894,2010,15096.000000000002,70000,Petrol,Manual,First Owner
896,2013,30600.000000000004,70000,Diesel,Manual,Second Owner
897,2013,30600.000000000004,1000,Diesel,Manual,Second Owner
898,2018,258400.00000000003,10000,Diesel,Automatic,First Owner
900,2019,336600.0,30000,Diesel,Automatic,First Owner
901,2016,36380.0,52600,Diesel,Manual,First Owner
904,2016,45560.0,7104,Petrol,Manual,First Owner
905,2015,42500.0,11918,Petrol,Manual,First Owner
908,2017,176800.0,47162,Diesel,Automatic,First Owner
909,2015,51000.00000000001,45974,Diesel,Manual,First Owner
913,2012,26180.000000000004,52000,Diesel,Manual,First Owner
914,2015,51680.00000000001,55340,Petrol,Manual,First Owner
915,2017,40800.0,46507,Diesel,Manual,First Owner
916,2013,30600.000000000004,1000,Diesel,Manual,Second Owner
917,2018,258400.00000000003,10000,Diesel,Automatic,First Owner
919,2019,336600.0,30000,Diesel,Automatic,First Owner
920,2016,36380.0,52600,Diesel,Manual,First Owner
923,2016,45560.0,7104,Petrol,Manual,First Owner
924,2015,42500.0,11918,Petrol,Manual,First Owner
927,2017,176800.0,47162,Diesel,Automatic,First Owner
928,2015,51000.00000000001,45974,Diesel,Manual,First Owner
932,2012,26180.000000000004,52000,Diesel,Manual,First Owner
933,2015,51680.00000000001,55340,Petrol,Manual,First Owner
934,2017,40800.0,46507,Diesel,Manual,First Owner
936,2012,19380.0,74300,Diesel,Manual,First Owner
937,2010,23800.0,48781,Petrol,Manual,First Owner
940,2011,26180.000000000004,11473,Petrol,Manual,First Owner
946,2015,33320.0,31080,Petrol,Manual,First Owner
948,2014,30940.000000000004,55850,Diesel,Manual,First Owner
951,2016,37400.0,54000,Diesel,Manual,First Owner
953,2012,26520.000000000004,45454,Diesel,Manual,First Owner
955,2007,7480.000000000001,60000,Petrol,Manual,Third Owner & Above
957,2012,40800.0,110000,Diesel,Manual,Third Owner & Above
959,2018,183600.0,25000,Diesel,Automatic,First Owner
962,2015,32300.000000000004,60000,Diesel,Manual,First Owner
963,2020,319600.0,1500,Diesel,Automatic,First Owner
969,2017,129200.00000000001,20000,Petrol,Automatic,First Owner
972,2018,71400.0,35000,Diesel,Manual,First Owner
974,2019,68000.0,10000,Diesel,Manual,First Owner
976,2018,64600.00000000001,20000,Diesel,Manual,First Owner
977,2018,51000.00000000001,50000,Diesel,Manual,First Owner
979,2017,68000.0,50000,Diesel,Manual,First Owner
980,2017,44880.0,116000,Diesel,Manual,First Owner
981,2015,48688.0,100000,Diesel,Manual,First Owner
982,2015,45900.0,66000,Petrol,Manual,First Owner
983,2010,26180.000000000004,110000,Diesel,Manual,Third Owner & Above
985,2015,64600.00000000001,60000,Diesel,Manual,First Owner
991,2018,49300.0,26350,Diesel,Manual,First Owner
992,2012,37400.0,90000,Diesel,Manual,First Owner
993,2016,32300.000000000004,25000,Petrol,Manual,First Owner
996,2012,10880.0,70000,Petrol,Manual,Third Owner & Above
997,2011,68000.0,90000,Diesel,Automatic,Second Owner
1001,2018,88400.0,35000,Diesel,Manual,First Owner
1002,2020,71400.0,10000,Diesel,Manual,First Owner
1003,2009,20400.0,15000,Petrol,Manual,First Owner
1004,2016,40800.0,25000,Petrol,Manual,First Owner
1005,2017,61200.00000000001,50000,Diesel,Manual,First Owner
1012,2015,43520.0,23000,Petrol,Manual,First Owner
1018,2012,44200.0,71042,Diesel,Manual,First Owner
1021,2018,258400.00000000003,10000,Diesel,Automatic,First Owner
1022,2013,101320.00000000001,40000,Diesel,Automatic,First Owner
1023,2019,336600.0,30000,Diesel,Automatic,First Owner
1026,2017,207400.00000000003,30000,Diesel,Automatic,First Owner
1028,2015,42500.0,11918,Petrol,Manual,First Owner
1031,2017,176800.0,47162,Diesel,Automatic,First Owner
1034,2017,39780.0,43608,Petrol,Manual,First Owner
1037,2016,49300.0,49217,Petrol,Manual,First Owner
1043,2012,27200.000000000004,80000,Diesel,Manual,Second Owner
1044,2014,37400.0,80000,Diesel,Manual,Second Owner
1046,2012,37740.0,110000,Diesel,Manual,Second Owner
1047,2013,34000.0,60000,Diesel,Manual,Second Owner
1048,2010,27200.000000000004,130000,Diesel,Automatic,Second Owner
1055,2014,49300.0,135000,Diesel,Manual,Second Owner
1056,2015,21760.0,50000,Diesel,Manual,Third Owner & Above
1059,2018,53720.00000000001,19571,Diesel,Manual,First Owner
1060,2018,81600.0,29600,Petrol,Manual,First Owner
1064,2017,56100.00000000001,13500,Diesel,Manual,First Owner
